,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
449,Bellin Memorial Hospital,6450420,6450420,IHQCANC,30.0/100,,,,adult,2023-01-04 20:29:21.680567
450,Mercy Hospital Springfield,6631350,6631350,IHQCANC,30.0/100,,,,adult,2023-01-04 20:29:21.680567
451,Alta Bates Summit Medical Center-Berkeley,6930290,6930290,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
452,Frederick Regional Hospital,6320540,6320540,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
453,HCA Florida Osceola Hospital,6390440,6390440,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
454,Henry Ford West Bloomfield Hospital,6440049,6440049,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
455,Miriam Hospital,6150130,6150130,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
456,St. Charles Medical Center,6920070,6920070,IHQCANC,29.9/100,,,,adult,2023-01-04 20:29:21.680567
457,Baptist Medical Center,6740415,6740415,IHQCANC,29.8/100,,,,adult,2023-01-04 20:29:21.680567
458,Hospital of Central Connecticut,6160013,6160013,IHQCANC,29.8/100,,,,adult,2023-01-04 20:29:21.680567
459,Kaiser Permanente Baldwin Park Medical Center,6930098,6930098,IHQCANC,29.8/100,,,,adult,2023-01-04 20:29:21.680567
460,Rochester General Hospital,6214290,6214290,IHQCANC,29.8/100,,,,adult,2023-01-04 20:29:21.680567
461,CentraState Medical Center,6220322,6220322,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
462,Forbes Hospital,6232551,6232551,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
463,Integris Baptist Medical Center,6730728,6730728,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
464,Shannon Medical Center,6740129,6740129,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
465,Sparrow Hospital,6441595,6441595,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
466,St. Luke's Anderson Campus,6230456,6230456,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
467,TMC Healthcare-Tucson,6860020,6860020,IHQCANC,29.7/100,,,,adult,2023-01-04 20:29:21.680567
468,Aultman Hospital,6410280,6410280,IHQCANC,29.6/100,,,,adult,2023-01-04 20:29:21.680567
469,Health First Holmes Regional Medical Center,6390530,6390530,IHQCANC,29.6/100,,,,adult,2023-01-04 20:29:21.680567
470,Swedish American Hospital,6432810,6432810,IHQCANC,29.6/100,,,,adult,2023-01-04 20:29:21.680567
471,UP Health System-Marquette,6441720,6441720,IHQCANC,29.6/100,,,,adult,2023-01-04 20:29:21.680567
472,Virginia Hospital Center,6340040,6340040,IHQCANC,29.6/100,,,,adult,2023-01-04 20:29:21.680567
473,CHI St. Luke's Health-The Woodlands Hospital,6740248,6740248,IHQCANC,29.5/100,,,,adult,2023-01-04 20:29:21.680567
474,Fort Sanders Regional Medical Center,6520510,6520510,IHQCANC,29.5/100,,,,adult,2023-01-04 20:29:21.680567
475,Kaiser Permanente Panorama City Medical Center,6933784,6933784,IHQCANC,29.5/100,,,,adult,2023-01-04 20:29:21.680567
476,Chandler Regional Medical Center,6860028,6860028,IHQCANC,29.4/100,,,,adult,2023-01-04 20:29:21.680567
477,Providence Little Company of Mary Medical Center Torrance,6933681,6933681,IHQCANC,29.4/100,,,,adult,2023-01-04 20:29:21.680567
478,Holy Cross Hospital-Silver Spring,6320813,6320813,IHQCANC,29.3/100,,,,adult,2023-01-04 20:29:21.680567
479,Mount Nittany Medical Center,6230130,6230130,IHQCANC,29.3/100,,,,adult,2023-01-04 20:29:21.680567
480,Baptist Health Louisville,6510365,6510365,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
481,Baptist Memorial Hospital-Desoto,6540950,6540950,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
482,Bryan Medical Center,6660006,6660006,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
483,Emory Decatur Hospital,6380488,6380488,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
484,Providence Cedars-Sinai Tarzana Medical Center,6933670,6933670,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
485,St. Agnes Medical Center,6930810,6930810,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
486,Straub Medical Center,6950405,6950405,IHQCANC,29.2/100,,,,adult,2023-01-04 20:29:21.680567
487,Duke Raleigh Hospital,6361180,6361180,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
488,Maimonides Medical Center,6210747,6210747,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
489,Memorial Hospital of South Bend,6421290,6421290,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
490,St. Joseph Hospital-Eureka,6930106,6930106,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
491,William W. Backus Hospital,6160560,6160560,IHQCANC,29.1/100,,,,adult,2023-01-04 20:29:21.680567
492,Ascension Resurrection,6431020,6431020,IHQCANC,29.0/100,,,,adult,2023-01-04 20:29:21.680567
493,Banner Boswell Medical Center,6860378,6860378,IHQCANC,29.0/100,,,,adult,2023-01-04 20:29:21.680567
494,Baton Rouge General Medical Center,6720042,6720042,IHQCANC,29.0/100,,,,adult,2023-01-04 20:29:21.680567
495,Essentia Health-St. Mary's Medical Center,6610410,6610410,IHQCANC,29.0/100,,,,adult,2023-01-04 20:29:21.680567
496,Tallahassee Memorial Healthcare,6391030,6391030,IHQCANC,29.0/100,,,,adult,2023-01-04 20:29:21.680567
497,Henry Ford Wyandotte Hospital,6442520,6442520,IHQCANC,28.9/100,,,,adult,2023-01-04 20:29:21.680567
498,Pali Momi Medical Center,6950001,6950001,IHQCANC,28.9/100,,,,adult,2023-01-04 20:29:21.680567
499,UW Medicine-Valley Medical Center,6910520,6910520,IHQCANC,28.9/100,,,,adult,2023-01-04 20:29:21.680567
500,CarolinaEast Medical Center,6361068,6361068,IHQCANC,28.8/100,,,,adult,2023-01-04 20:29:21.680567
501,Maine Medical Center,6110430,6110430,IHQCANC,28.8/100,,,,adult,2023-01-04 20:29:21.680567
502,Mercy Health-Anderson Hospital,6410580,6410580,IHQCANC,28.8/100,,,,adult,2023-01-04 20:29:21.680567
503,St. Vincent Hospital-Worcester,6142350,6142350,IHQCANC,28.8/100,,,,adult,2023-01-04 20:29:21.680567
504,Virtua Our Lady of Lourdes Hospital,6220200,6220200,IHQCANC,28.8/100,,,,adult,2023-01-04 20:29:21.680567
505,St. Dominic-Jackson Memorial Hospital,6540390,6540390,IHQCANC,28.7/100,,,,adult,2023-01-04 20:29:21.680567
506,University of Missouri Health Care-Columbia,6630150,6630150,IHQCANC,28.7/100,,,,adult,2023-01-04 20:29:21.680567
507,Atrium Health Wake Forest Baptist Health-High Point Medical Center,6360780,6360780,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
508,Eastern Maine Medical Center,6110050,6110050,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
509,Marshfield Medical Center,6450860,6450860,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
510,MedStar Franklin Square Medical Center,6320120,6320120,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
511,Northside Hospital Gwinnett,6380325,6380325,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
512,Northwestern Medicine Delnor Hospital,6431765,6431765,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
513,WakeMed Raleigh Campus,6360001,6360001,IHQCANC,28.6/100,,,,adult,2023-01-04 20:29:21.680567
514,Doctors Hospital of Augusta,6380265,6380265,IHQCANC,28.5/100,,,,adult,2023-01-04 20:29:21.680567
515,Houston Methodist The Woodlands Hospital,6741091,6741091,IHQCANC,28.5/100,,,,adult,2023-01-04 20:29:21.680567
516,Kaiser Permanente South Sacramento Medical Center,6932673,6932673,IHQCANC,28.5/100,,,,adult,2023-01-04 20:29:21.680567
517,Methodist Stone Oak Hospital,6740417,6740417,IHQCANC,28.5/100,,,,adult,2023-01-04 20:29:21.680567
518,UPMC St. Margaret,6232610,6232610,IHQCANC,28.5/100,,,,adult,2023-01-04 20:29:21.680567
519,Henrico Doctors' Hospitals,6340012,6340012,IHQCANC,28.4/100,,,,adult,2023-01-04 20:29:21.680567
520,Ascension Genesys Hospital,6440018,6440018,IHQCANC,28.3/100,,,,adult,2023-01-04 20:29:21.680567
521,Carondelet St. Mary's Hospital,6860480,6860480,IHQCANC,28.3/100,,,,adult,2023-01-04 20:29:21.680567
522,Mercy Gilbert Medical Center,6860051,6860051,IHQCANC,28.3/100,,,,adult,2023-01-04 20:29:21.680567
523,Kaiser Permanente San Leandro Medical Center,6930707,6930707,IHQCANC,28.2/100,,,,adult,2023-01-04 20:29:21.680567
524,Mercy Hospital Oklahoma City,6730800,6730800,IHQCANC,28.2/100,,,,adult,2023-01-04 20:29:21.680567
525,Mosaic Life Care-St. Joseph,6630009,6630009,IHQCANC,28.2/100,,,,adult,2023-01-04 20:29:21.680567
526,Cleveland Clinic Martin Health,6391000,6391000,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
527,Concord Hospital,6120030,6120030,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
528,Crestwood Medical Center,6530521,6530521,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
529,HSHS Sacred Heart Hospital,6450330,6450330,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
530,Mercy Hospital-Coon Rapids,6610085,6610085,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
531,Munson Medical Center,6440013,6440013,IHQCANC,28.1/100,,,,adult,2023-01-04 20:29:21.680567
532,Hillcrest Medical Center,6731180,6731180,IHQCANC,28.0/100,,,,adult,2023-01-04 20:29:21.680567
533,Lakeland Regional Health Medical Center,6390470,6390470,IHQCANC,28.0/100,,,,adult,2023-01-04 20:29:21.680567
534,UConn John Dempsey Hospital,6160215,6160215,IHQCANC,28.0/100,,,,adult,2023-01-04 20:29:21.680567
535,Kaiser Permanente Roseville Medical Center,6930421,6930421,IHQCANC,27.9/100,,,,adult,2023-01-04 20:29:21.680567
536,Kent County Memorial Hospital,6150215,6150215,IHQCANC,27.9/100,,,,adult,2023-01-04 20:29:21.680567
537,NCH Baker Hospital,6390669,6390669,IHQCANC,27.9/100,,,,adult,2023-01-04 20:29:21.680567
538,ProMedica Toledo Hospital,6412180,6412180,IHQCANC,27.9/100,,,,adult,2023-01-04 20:29:21.680567
539,St. Francis Medical Center-Monroe,6720460,6720460,IHQCANC,27.9/100,,,,adult,2023-01-04 20:29:21.680567
540,CHI Memorial Hospital,6520019,6520019,IHQCANC,27.8/100,,,,adult,2023-01-04 20:29:21.680567
541,John D. Archbold Memorial Hospital,6381140,6381140,IHQCANC,27.8/100,,,,adult,2023-01-04 20:29:21.680567
542,WellStar Cobb Hospital,6380285,6380285,IHQCANC,27.8/100,,,,adult,2023-01-04 20:29:21.680567
543,Beaumont Hospital-Farmington Hills,6441011,6441011,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
544,Bon Secours St. Francis Medical Center,6340021,6340021,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
545,Cape Fear Valley Medical Center,6360023,6360023,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
546,Intermountain St. George Regional Hospital,6870245,6870245,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
547,PeaceHealth St. Joseph Medical Center,6910001,6910001,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
548,University of Texas Medical Branch,6741615,6741615,IHQCANC,27.7/100,,,,adult,2023-01-04 20:29:21.680567
549,Adventist Health Bakersfield,6930210,6930210,IHQCANC,27.6/100,,,,adult,2023-01-04 20:29:21.680567
550,Einstein Medical Center Philadelphia,6231634,6231634,IHQCANC,27.6/100,,,,adult,2023-01-04 20:29:21.680567
551,North Colorado Medical Center,6840650,6840650,IHQCANC,27.6/100,,,,adult,2023-01-04 20:29:21.680567
552,St. Rita's Medical Center,6411560,6411560,IHQCANC,27.6/100,,,,adult,2023-01-04 20:29:21.680567
553,Community Hospital North,6420023,6420023,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
554,Community Medical Center-Toms River,6221395,6221395,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
555,Hartford Hospital,6160003,6160003,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
556,Kettering Health Main Campus,6411466,6411466,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
557,PeaceHealth Southwest Medical Center,6911130,6911130,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
558,Stamford Hospital,6160009,6160009,IHQCANC,27.5/100,,,,adult,2023-01-04 20:29:21.680567
559,Holston Valley Medical Center,6520470,6520470,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
560,Jupiter Medical Center,6393411,6393411,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
561,Middlesex Hospital,6160340,6160340,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
562,Northeast Georgia Medical Center,6380019,6380019,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
563,St. Francis Healthcare System-Cape Girardeau,6630070,6630070,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
564,Touro Infirmary,6720670,6720670,IHQCANC,27.4/100,,,,adult,2023-01-04 20:29:21.680567
565,Benefis Health System-Great Falls,6810003,6810003,IHQCANC,27.3/100,,,,adult,2023-01-04 20:29:21.680567
566,Lee Memorial Hospital,6390240,6390240,IHQCANC,27.3/100,,,,adult,2023-01-04 20:29:21.680567
567,OSF Healthcare St. Francis Medical Center,6432620,6432620,IHQCANC,27.3/100,,,,adult,2023-01-04 20:29:21.680567
568,Central Maine Medical Center,6110370,6110370,IHQCANC,27.2/100,,,,adult,2023-01-04 20:29:21.680567
569,Grand Strand Regional Medical Center,6370477,6370477,IHQCANC,27.2/100,,,,adult,2023-01-04 20:29:21.680567
570,HCA Houston Healthcare Kingwood,6740046,6740046,IHQCANC,27.2/100,,,,adult,2023-01-04 20:29:21.680567
571,University of Louisville Hospital,6510550,6510550,IHQCANC,27.2/100,,,,adult,2023-01-04 20:29:21.680567
572,Atrium Health-Pineville,6360018,6360018,IHQCANC,27.1/100,,,,adult,2023-01-04 20:29:21.680567
573,University Hospitals Lake Medical Centers,6411870,6411870,IHQCANC,27.1/100,,,,adult,2023-01-04 20:29:21.680567
574,Bon Secours St. Francis Health System-Greenville,6370330,6370330,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
575,Lexington Medical Center,6370671,6370671,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
576,McLaren Bay Region Hospital,6440190,6440190,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
577,Memorial Health University Medical Center,6381027,6381027,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
578,M Health Fairview St. John's Hospital,6610820,6610820,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
579,Washington Hospital-Pennsylvania,6233320,6233320,IHQCANC,27.0/100,,,,adult,2023-01-04 20:29:21.680567
580,Bristol Regional Medical Center,6520040,6520040,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
581,Christus Spohn Hospital-Corpus Christi,6740089,6740089,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
582,Deaconess Hospital,6420320,6420320,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
583,Essentia Health-Fargo,6640003,6640003,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
584,Providence Regional Medical Center Everett,6910004,6910004,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
585,UPMC Altoona,6230086,6230086,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
586,UPMC Mercy,6232510,6232510,IHQCANC,26.9/100,,,,adult,2023-01-04 20:29:21.680567
587,Inspira Medical Center-Vineland,6220125,6220125,IHQCANC,26.8/100,,,,adult,2023-01-04 20:29:21.680567
588,Mercy Health-St. Elizabeth Youngstown Hospital,6412440,6412440,IHQCANC,26.8/100,,,,adult,2023-01-04 20:29:21.680567
589,Mission Hospital-Asheville,6360013,6360013,IHQCANC,26.8/100,,,,adult,2023-01-04 20:29:21.680567
590,Parkview Medical Center,6840850,6840850,IHQCANC,26.8/100,,,,adult,2023-01-04 20:29:21.680567
591,WakeMed Cary Hospital,636118A,636118A,IHQCANC,26.8/100,,,,adult,2023-01-04 20:29:21.680567
592,Charleston Area Medical Center,6350120,6350120,IHQCANC,26.7/100,,,,adult,2023-01-04 20:29:21.680567
593,Norman Regional Hospital-Norman,6730074,6730074,IHQCANC,26.7/100,,,,adult,2023-01-04 20:29:21.680567
594,California Pacific Medical Center,6930032,6930032,IHQCANC,26.6/100,,,,adult,2023-01-04 20:29:21.680567
595,Community Memorial Hospital-Ventura,6930131,6930131,IHQCANC,26.6/100,,,,adult,2023-01-04 20:29:21.680567
596,Decatur Memorial Hospital,6431370,6431370,IHQCANC,26.6/100,,,,adult,2023-01-04 20:29:21.680567
597,Aventura Hospital and Medical Center,6390282,6390282,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
598,Baylor Scott and White Medical Center-Grapevine,6741739,6741739,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
599,Community Hospital-Munster,6421050,6421050,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
600,HonorHealth Scottsdale Thompson Peak Medical Center,6860054,6860054,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
601,Los Robles Hospital and Medical Center,6933672,6933672,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
602,Northwest Medical Center-Tucson,6864010,6864010,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
603,Sisters of Charity Hospital of Buffalo,6211000,6211000,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
604,Virtua Mount Holly Hospital,6220730,6220730,IHQCANC,26.5/100,,,,adult,2023-01-04 20:29:21.680567
605,Atrium Health Navicent Medical Center,6380730,6380730,IHQCANC,26.4/100,,,,adult,2023-01-04 20:29:21.680567
606,Maury Regional Medical Center,6520209,6520209,IHQCANC,26.4/100,,,,adult,2023-01-04 20:29:21.680567
607,Sutter Medical Center,6930073,6930073,IHQCANC,26.4/100,,,,adult,2023-01-04 20:29:21.680567
608,Asante Rogue Regional Medical Center,6920280,6920280,IHQCANC,26.3/100,,,,adult,2023-01-04 20:29:21.680567
609,Carson Tahoe Health-Carson City,6880025,6880025,IHQCANC,26.3/100,,,,adult,2023-01-04 20:29:21.680567
610,Santa Rosa Memorial Hospital,6930109,6930109,IHQCANC,26.3/100,,,,adult,2023-01-04 20:29:21.680567
611,Silver Cross Hospital,6432000,6432000,IHQCANC,26.2/100,,,,adult,2023-01-04 20:29:21.680567
612,St. Anthony Hospital-Lakewood,6840385,6840385,IHQCANC,26.2/100,,,,adult,2023-01-04 20:29:21.680567
613,Texoma Medical Center,6741135,6741135,IHQCANC,26.2/100,,,,adult,2023-01-04 20:29:21.680567
614,Candler Hospital,6381080,6381080,IHQCANC,26.1/100,,,,adult,2023-01-04 20:29:21.680567
615,Christus St. Vincent Regional Medical Center,6850390,6850390,IHQCANC,26.1/100,,,,adult,2023-01-04 20:29:21.680567
616,Holy Cross Health-Fort Lauderdale,6390230,6390230,IHQCANC,26.1/100,,,,adult,2023-01-04 20:29:21.680567
617,Ascension SE Wisconsin Hospital-St. Joseph Campus,6450022,6450022,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
618,Broward Health Coral Springs,6390150,6390150,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
619,Clara Maass Medical Center,6220758,6220758,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
620,Jackson Hospital and Clinic,6530695,6530695,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
621,"Jefferson Health-Stratford, Cherry Hill and Washington Township",6221345,6221345,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
622,Medical City Arlington,6740115,6740115,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
623,North Florida Regional Medical Center,6390225,6390225,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
624,Trinity Health Oakland Hospital,6442140,6442140,IHQCANC,26.0/100,,,,adult,2023-01-04 20:29:21.680567
625,Atrium Health-Cabarrus,6360360,6360360,IHQCANC,25.9/100,,,,adult,2023-01-04 20:29:21.680567
626,Boulder Community Health-Foothills Hospital,6840040,6840040,IHQCANC,25.9/100,,,,adult,2023-01-04 20:29:21.680567
627,Excela Health Westmoreland Hospital,6230840,6230840,IHQCANC,25.9/100,,,,adult,2023-01-04 20:29:21.680567
628,Kaiser Permanente South Bay Medical Center,6930925,6930925,IHQCANC,25.9/100,,,,adult,2023-01-04 20:29:21.680567
629,Our Lady of Lourdes Memorial Hospital,6210370,6210370,IHQCANC,25.9/100,,,,adult,2023-01-04 20:29:21.680567
630,Ascension All Saints Hospital,6451580,6451580,IHQCANC,25.8/100,,,,adult,2023-01-04 20:29:21.680567
631,Doctors Medical Center of Modesto,6930016,6930016,IHQCANC,25.8/100,,,,adult,2023-01-04 20:29:21.680567
632,Hospital HIMA San Pablo Oncológico,6040004,6040004,IHQCANC,25.8/100,,,,adult,2023-01-04 20:29:21.680567
633,Indiana University Health Bloomington Hospital,6420130,6420130,IHQCANC,25.8/100,,,,adult,2023-01-04 20:29:21.680567
634,St. Francis Hospital and Medical Center,6160004,6160004,IHQCANC,25.8/100,,,,adult,2023-01-04 20:29:21.680567
635,Baptist Hospital,6390792,6390792,IHQCANC,25.7/100,,,,adult,2023-01-04 20:29:21.680567
636,Brandon Regional Hospital,6390070,6390070,IHQCANC,25.7/100,,,,adult,2023-01-04 20:29:21.680567
637,Flowers Hospital,6530350,6530350,IHQCANC,25.7/100,,,,adult,2023-01-04 20:29:21.680567
638,USA Health University Hospital,6530600,6530600,IHQCANC,25.7/100,,,,adult,2023-01-04 20:29:21.680567
639,Kaleida Health-Buffalo General Medical Center,6211025,6211025,IHQCANC,25.6/100,,,,adult,2023-01-04 20:29:21.680567
640,Memorial Medical Center-Las Cruces,6850285,6850285,IHQCANC,25.6/100,,,,adult,2023-01-04 20:29:21.680567
641,Northwestern Medicine Central DuPage Hospital,6430019,6430019,IHQCANC,25.6/100,,,,adult,2023-01-04 20:29:21.680567
642,Ascension St. Thomas Hospital,6521040,6521040,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
643,CoxHealth Springfield,6631320,6631320,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
644,Henry Ford Macomb Hospitals,6441830,6441830,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
645,HonorHealth Deer Valley Medical Center,6860325,6860325,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
646,Main Line Health Riddle Hospital,6231375,6231375,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
647,Robert Wood Johnson University Hospital Somerset,6221340,6221340,IHQCANC,25.5/100,,,,adult,2023-01-04 20:29:21.680567
648,Lovelace Medical Center,6850060,6850060,IHQCANC,25.4/100,,,,adult,2023-01-04 20:29:21.680567
649,Providence St. Patrick Hospital,6810430,6810430,IHQCANC,25.4/100,,,,adult,2023-01-04 20:29:21.680567
650,SUNY Downstate Medical Center University Hospital,6210469,6210469,IHQCANC,25.4/100,,,,adult,2023-01-04 20:29:21.680567
651,Ascension St. Vincent Evansville,6420027,6420027,IHQCANC,25.3/100,,,,adult,2023-01-04 20:29:21.680567
652,Corpus Christi Medical Center,6740732,6740732,IHQCANC,25.3/100,,,,adult,2023-01-04 20:29:21.680567
653,Intermountain Utah Valley Hospital,6870220,6870220,IHQCANC,25.3/100,,,,adult,2023-01-04 20:29:21.680567
654,Gottlieb Memorial Hospital,6432435,6432435,IHQCANC,25.2/100,,,,adult,2023-01-04 20:29:21.680567
655,Olathe Medical Center,6670758,6670758,IHQCANC,25.2/100,,,,adult,2023-01-04 20:29:21.680567
656,SCL Health Good Samaritan Medical Center,6840021,6840021,IHQCANC,25.2/100,,,,adult,2023-01-04 20:29:21.680567
657,UnityPoint Health-Methodist Hospital,6432570,6432570,IHQCANC,25.2/100,,,,adult,2023-01-04 20:29:21.680567
658,Confluence Health-Central Washington Hospital,6911195,6911195,IHQCANC,25.1/100,,,,adult,2023-01-04 20:29:21.680567
659,Luminis Health Doctors Community Medical Center,6320645,6320645,IHQCANC,25.1/100,,,,adult,2023-01-04 20:29:21.680567
660,Mercy Health-St. Vincent Medical Center,6412170,6412170,IHQCANC,25.1/100,,,,adult,2023-01-04 20:29:21.680567
661,St. David's Round Rock Medical Center,6742345,6742345,IHQCANC,25.1/100,,,,adult,2023-01-04 20:29:21.680567
662,Piedmont Athens Regional Medical Center,6380040,6380040,IHQCANC,25.0/100,,,,adult,2023-01-04 20:29:21.680567
663,UPMC Williamsport,6233500,6233500,IHQCANC,25.0/100,,,,adult,2023-01-04 20:29:21.680567
664,AdventHealth Fish Memorial,6390046,6390046,IHQCANC,24.9/100,,,,adult,2023-01-04 20:29:21.680567
665,North Memorial Health Hospital,6611455,6611455,IHQCANC,24.9/100,,,,adult,2023-01-04 20:29:21.680567
666,Spartanburg Medical Center,6370610,6370610,IHQCANC,24.9/100,,,,adult,2023-01-04 20:29:21.680567
667,Southwest Healthcare System-Murrieta,6930690,6930690,IHQCANC,24.8/100,,,,adult,2023-01-04 20:29:21.680567
668,DCH Regional Medical Center,6530960,6530960,IHQCANC,24.7/100,,,,adult,2023-01-04 20:29:21.680567
669,Medical Center at Bowling Green,6510007,6510007,IHQCANC,24.7/100,,,,adult,2023-01-04 20:29:21.680567
670,Mon Health Medical Center,6350555,6350555,IHQCANC,24.7/100,,,,adult,2023-01-04 20:29:21.680567
671,SCL Health Lutheran Medical Center,6840012,6840012,IHQCANC,24.7/100,,,,adult,2023-01-04 20:29:21.680567
672,Bon Secours St. Francis Hospital,6370100,6370100,IHQCANC,24.6/100,,,,adult,2023-01-04 20:29:21.680567
673,CHI St. Vincent Infirmary,6710400,6710400,IHQCANC,24.6/100,,,,adult,2023-01-04 20:29:21.680567
674,Community Regional Medical Center,6930790,6930790,IHQCANC,24.6/100,,,,adult,2023-01-04 20:29:21.680567
675,Mercy Hospital South,6631160,6631160,IHQCANC,24.6/100,,,,adult,2023-01-04 20:29:21.680567
676,Northside Hospital Forsyth,6380463,6380463,IHQCANC,24.6/100,,,,adult,2023-01-04 20:29:21.680567
677,Aspirus Wausau Hospital,6452085,6452085,IHQCANC,24.5/100,,,,adult,2023-01-04 20:29:21.680567
678,Kendall Regional Medical Center,6390515,6390515,IHQCANC,24.5/100,,,,adult,2023-01-04 20:29:21.680567
679,CHI St. Alexius Health Bismarck,6640040,6640040,IHQCANC,24.4/100,,,,adult,2023-01-04 20:29:21.680567
680,Einstein Medical Center Montgomery,6230515,6230515,IHQCANC,24.4/100,,,,adult,2023-01-04 20:29:21.680567
681,Penrose-St. Francis Health Services-Colorado Springs,6840002,6840002,IHQCANC,24.4/100,,,,adult,2023-01-04 20:29:21.680567
