,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Metro,Recognized in Metro,Metro Rank,Tied?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated
10,Chester County Hospital,6233400,6233400,701 East Marshall Street,West Chester,Pennsylvania,PA,19380-4412,39.971,-75.6025,"Philadelphia, PA",,(610) 431-5000,https://health.usnews.com/best-hospitals/area/pa/chester-county-hospital-6233400,"Philadelphia, PA",True,10.0,True,1,0,0,2023-01-04 16:42:46.120813
11,Jefferson Health-Abington Hospital,6230010,6230010,1200 Old York Road,Abington,Pennsylvania,PA,19001-3720,40.1194,-75.1204,"Philadelphia, PA",,(215) 481-2000,https://health.usnews.com/best-hospitals/area/pa/abington-memorial-hospital-6230010,"Philadelphia, PA",True,10.0,True,1,0,0,2023-01-04 16:42:46.120813
12,Cooper University Health Care-Camden,6220190,6220190,One Cooper Plaza,Camden,New Jersey,NJ,08103-1489,39.9416,-75.1169,"Philadelphia, PA",,(856) 342-2000,https://health.usnews.com/best-hospitals/area/nj/cooper-university-hospital-6220190,"Philadelphia, PA",True,12.0,True,0,0,0,2023-01-04 16:42:46.120813
13,St. Mary Medical Center-Langhorne,6231130,6231130,1201 Langhorne-Newtown Road,Langhorne,Pennsylvania,PA,19047-1201,40.2026,-74.9252,"Philadelphia, PA",,(215) 710-2000,https://health.usnews.com/best-hospitals/area/pa/st-mary-medical-center-6231130,"Philadelphia, PA",True,12.0,True,0,0,0,2023-01-04 16:42:46.120813
14,Virtua Voorhees Hospital,6221600,6221600,100 Bowman Drive,Voorhees,New Jersey,NJ,08043-9612,39.8421,-74.9271,"Philadelphia, PA",,(856) 247-3000,https://health.usnews.com/best-hospitals/area/nj/virtua-voorhees-6221600,"Philadelphia, PA",True,12.0,True,0,0,0,2023-01-04 16:42:46.120813
15,"Jefferson Health-Stratford, Cherry Hill and Washington Township",6221345,6221345,18 E. Laurel Road,Stratford,New Jersey,NJ,08084,39.828202,-75.008122,"Philadelphia, PA",,(856) 488-6500,https://health.usnews.com/best-hospitals/area/nj/kennedy-university-hospital-6221345,"Philadelphia, PA",True,15.0,False,0,0,0,2023-01-04 16:42:46.120813
16,Virtua Our Lady of Lourdes Hospital,6220200,6220200,1600 Haddon Avenue,Camden,New Jersey,NJ,08103-3117,39.9279,-75.0947,"Philadelphia, PA",,(856) 757-3500,https://health.usnews.com/best-hospitals/area/nj/our-lady-of-lourdes-medical-center-6220200,"Philadelphia, PA",True,16.0,False,0,0,0,2023-01-04 16:42:46.120813
17,Jefferson Health-Jefferson Torresdale Hospital,6230054,6230054,10800 Knights Road,Philadelphia,Pennsylvania,PA,19114-4200,40.0717,-74.9832,"Philadelphia, PA",,(215) 612-4000,https://health.usnews.com/best-hospitals/area/pa/aria-health-6230054,"Philadelphia, PA",True,17.0,False,0,0,0,2023-01-04 16:42:46.120813
18,Acuity Specialty Hospital of Southern New Jersey,6220234,6220234,218 A Sunset Road,Willingboro,New Jersey,NJ,08046-1110,40.0484,-74.8841,"Philadelphia, PA",,(609) 835-3650,https://health.usnews.com/best-hospitals/area/nj/lourdes-specialty-hospital-of-southern-new-jersey-6220234,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
19,Behavioral Wellness Center at Girard,6230016,6230016,801 West Girard Ave,Philadelphia,Pennsylvania,PA,19122-4212,39.9711,-75.1496,"Philadelphia, PA",,(215) 787-9000,https://health.usnews.com/best-hospitals/area/pa/st-josephs-hospital-6230016,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
20,Belmont Behavioral Hospital,6232130,6232130,4200 Monument Road,Philadelphia,Pennsylvania,PA,19131-1625,39.9999,-75.2151,"Philadelphia, PA",,(215) 877-2000,https://health.usnews.com/best-hospitals/area/pa/belmont-center-for-comprehensive-treatment-6232130,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
21,Brandywine Hospital,6230460,6230460,201 Reeceville Road,Coatesville,Pennsylvania,PA,19320-1536,40.0098,-75.7861,"Philadelphia, PA",,(610) 383-8000,https://health.usnews.com/best-hospitals/area/pa/brandywine-hospital-6230460,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
22,Brooke Glen Behavioral Hospital,6232335,6232335,7170 Lafayette Avenue,Fort Washington,Pennsylvania,PA,19034-2301,40.1346,-75.2159,"Philadelphia, PA",,(215) 641-5300,https://health.usnews.com/best-hospitals/area/pa/brooke-glen-behavioral-hospital-6232335,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
23,Chestnut Hill Hospital,6231710,6231710,8835 Germantown Avenue,Philadelphia,Pennsylvania,PA,19118-2718,40.0798,-75.2132,"Philadelphia, PA",,(215) 248-8200,https://health.usnews.com/best-hospitals/area/pa/chestnut-hill-hospital-6231710,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
24,Children's Hospital of Philadelphia,6231730,6231730,3401 Civic Center Boulevard,Philadelphia,Pennsylvania,PA,19104-4319,39.9487,-75.1935,"Philadelphia, PA",,(215) 590-1000,https://health.usnews.com/best-hospitals/area/pa/childrens-hospital-of-philadelphia-6231730,"Philadelphia, PA",False,,False,0,0,10,2023-01-04 16:42:46.120813
25,Childrens Regional Hospital at Cooper,6220190,PA6220190,One Cooper Plaza,Camden,New Jersey,NJ,08103-1489,39.9416,-75.1169,"Philadelphia, PA",,(856) 342-2000,https://health.usnews.com/best-hospitals/area/nj/childrens-regional-hospital-at-cooper-PA6220190,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
26,ChristianaCare-Union Hospital,6320500,6320500,106 Bow Street,Elkton,Maryland,MD,21921-5596,39.6086,-75.832,"Philadelphia, PA",,(410) 398-4000,https://health.usnews.com/best-hospitals/area/md/union-hospital-6320500,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
27,Coatesville Veterans Affairs Medical Center,6230470,6230470,1400 Black Horse Hill Road,Coatesville,Pennsylvania,PA,19320-2040,39.9981,-75.796,"Philadelphia, PA",,(610) 384-7711,https://health.usnews.com/best-hospitals/area/pa/coatesville-veterans-affairs-medical-center-6230470,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
28,Crozer-Chester Medical Center,6230400,6230400,One Medical Center Boulevard,Upland,Pennsylvania,PA,19013-3995,39.8558,-75.3682,"Philadelphia, PA",,(610) 447-2000,https://health.usnews.com/best-hospitals/area/pa/crozer-chester-medical-center-6230400,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
29,Deborah Heart and Lung Center,6220160,6220160,200 Trenton Road,Browns Mills,New Jersey,NJ,08015-1705,39.9775,-74.5852,"Philadelphia, PA",,(609) 893-6611,https://health.usnews.com/best-hospitals/area/nj/deborah-heart-and-lung-center-6220160,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
30,Delaware County Memorial Hospital,6230610,6230610,501 North Lansdowne Avenue,Drexel Hill,Pennsylvania,PA,19026-1114,39.9547,-75.2836,"Philadelphia, PA",,(610) 284-8100,https://health.usnews.com/best-hospitals/area/pa/delaware-county-memorial-hospital-6230610,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
31,Delaware Psychiatric Center,6310020,6310020,1901 North Dupont Highway,New Castle,Delaware,DE,19720-1199,39.7007,-75.5763,"Philadelphia, PA",,(302) 255-2700,https://health.usnews.com/best-hospitals/area/de/delaware-psychiatric-center-6310020,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
32,Devereux Children's Behavioral Health Center,6230185,6230185,655 Sugartown Road,Malvern,Pennsylvania,PA,19355-3303,40.0078,-75.5107,"Philadelphia, PA",,(610) 296-6820,https://health.usnews.com/best-hospitals/area/pa/devereux-childrens-behavioral-health-center-6230185,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
33,Eagleville Hospital,6230640,6230640,100 Eagleville Road,Eagleville,Pennsylvania,PA,19403-1829,40.1527,-75.417,"Philadelphia, PA",,(610) 539-6000,https://health.usnews.com/best-hospitals/area/pa/eagleville-hospital-6230640,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
34,Einstein Medical Center Montgomery,6230515,6230515,559 West Germantown Pike,East Norriton,Pennsylvania,PA,19403-4250,40.1507,-75.3426,"Philadelphia, PA",,(484) 622-1000,https://health.usnews.com/best-hospitals/area/pa/einstein-medical-center-montgomery-6230515,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
35,Einstein Medical Center Philadelphia,6231634,6231634,5501 Old York Road,Philadelphia,Pennsylvania,PA,19141-3098,40.0367,-75.1432,"Philadelphia, PA",,(215) 456-7890,https://health.usnews.com/best-hospitals/area/pa/einstein-medical-center-6231634,"Philadelphia, PA",False,,False,1,0,0,2023-01-04 16:42:46.120813
36,Encompass Health Rehabilitation Hospital of Middletown,6310390,6310390,250 East Hampden Road,Middletown,Delaware,DE,19709-5303,39.4535,-75.6774,"Philadelphia, PA",,(302) 464-3400,https://health.usnews.com/best-hospitals/area/de/healthsouth-rehabilitation-hospital-of-middletown-6310390,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
37,Fairmount Behavioral Health System-Philadelphia,6231810,6231810,561 Fairthorne Avenue,Philadelphia,Pennsylvania,PA,19128-2499,40.0434,-75.2216,"Philadelphia, PA",,(215) 487-4000,https://health.usnews.com/best-hospitals/area/pa/fairmount-behavioral-health-system-6231810,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
38,Foundations Behavioral Health-Doylestown,6239075,6239075,833 East Butler Avenue,Doylestown,Pennsylvania,PA,18901-2280,40.3008,-75.1544,"Philadelphia, PA",,(215) 345-0444,https://health.usnews.com/best-hospitals/area/pa/foundations-behavioral-health-6239075,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
39,Fox Chase Cancer Center,6231660,6231660,333 Cottman Avenue,Philadelphia,Pennsylvania,PA,19111-2434,40.0662,-75.0919,"Philadelphia, PA",,(215) 728-6900,https://health.usnews.com/best-hospitals/area/pa/fox-chase-cancer-center-6231660,"Philadelphia, PA",False,,False,1,1,0,2023-01-04 16:42:46.120813
40,Friends Hospital,6231860,6231860,4641 Roosevelt Boulevard,Philadelphia,Pennsylvania,PA,19124-2343,40.0266,-75.0995,"Philadelphia, PA",,(215) 831-4600,https://health.usnews.com/best-hospitals/area/pa/friends-hospital-6231860,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
41,Good Shepherd Penn Partners Specialty Hospital at Rittenhouse,6230292,6230292,1800 Lombard Street,Philadelphia,Pennsylvania,PA,19146-1414,39.9449,-75.1727,"Philadelphia, PA",,(215) 893-2541,https://health.usnews.com/best-hospitals/area/pa/good-shepherd-penn-partners-specialty-hospital-at-rittenhouse-6230292,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
42,Grand View Health-Sellersville,6233090,6233090,700 Lawn Avenue,Sellersville,Pennsylvania,PA,18960-1548,40.3636,-75.3262,"Philadelphia, PA",,(215) 453-4000,https://health.usnews.com/best-hospitals/area/pa/grand-view-hospital-6233090,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
43,Hampton Behavioral Health Center,6221250,6221250,650 Rancocas Road,Westampton,New Jersey,NJ,08060-5613,40.0079,-74.8464,"Philadelphia, PA",,(609) 267-7000,https://health.usnews.com/best-hospitals/area/nj/hampton-behavioral-health-center-6221250,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
44,Haven Behavioral Hospital of Philadelphia,6230557,6230557,"3300 Henry Avenue, Four Falls Building, Suite 100",Philadelphia,Pennsylvania,PA,19129-1141,40.0117,-75.1845,"Philadelphia, PA",,(215) 791-6821,https://health.usnews.com/best-hospitals/area/pa/haven-behavioral-hospital-of-philadelphia-6230557,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
45,Holy Redeemer Hospital,6231345,6231345,1648 Huntingdon Pike,Meadowbrook,Pennsylvania,PA,19046-8001,40.1098,-75.0824,"Philadelphia, PA",,(215) 947-3000,https://health.usnews.com/best-hospitals/area/pa/holy-redeemer-hospital-6231345,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
46,Horsham Clinic,6230080,6230080,722 East Butler Pike,Ambler,Pennsylvania,PA,19002-2310,40.1875,-75.1893,"Philadelphia, PA",,(215) 643-7800,https://health.usnews.com/best-hospitals/area/pa/horsham-clinic-6230080,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
47,Inspira Medical Center-Elmer,6220275,6220275,501 West Front Street,Elmer,New Jersey,NJ,08318-2101,39.5879,-75.1803,"Philadelphia, PA",,(856) 363-1000,https://health.usnews.com/best-hospitals/area/nj/south-jersey-healthcare-elmer-hospital-6220275,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
48,Jefferson Health-Abington-Lansdale Hospital,6231150,6231150,100 Medical Campus Drive,Lansdale,Pennsylvania,PA,19446-1200,40.2504,-75.2715,"Philadelphia, PA",,(215) 368-2100,https://health.usnews.com/best-hospitals/area/pa/abington-health-lansdale-hospital-6231150,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
49,Jennersville Hospital,6233442,6233442,1015 West Baltimore Pike,West Grove,Pennsylvania,PA,19390-9459,39.8219,-75.887,"Philadelphia, PA",,(610) 869-1000,https://health.usnews.com/best-hospitals/area/pa/jennersville-regional-hospital-6233442,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
50,Kensington Hospital,6231965,6231965,136 West Diamond Street,Philadelphia,Pennsylvania,PA,19122-1721,39.9816,-75.1346,"Philadelphia, PA",,(215) 426-8100,https://health.usnews.com/best-hospitals/area/pa/kensington-hospital-6231965,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
51,Kessler Marlton Rehabilitation Hospital,6220019,6220019,92 Brick Road,Marlton,New Jersey,NJ,08053-2177,39.8827,-74.9181,"Philadelphia, PA",,(856) 988-8778,https://health.usnews.com/best-hospitals/area/nj/marlton-rehabilitation-hospital-6220019,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
52,Kindred Hospital Philadelphia,6230046,6230046,6129 Palmetto Street,Philadelphia,Pennsylvania,PA,19111-5729,40.0461,-75.0971,"Philadelphia, PA",,(215) 722-8555,https://health.usnews.com/best-hospitals/area/pa/kindred-hospital-philadelphia-6230046,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
53,Livengrin Foundation Hospital,6230694,6230694,4833 Hulmeville Road,Bensalem,Pennsylvania,PA,19020-3099,40.119,-74.9271,"Philadelphia, PA",,(215) 638-5200,https://health.usnews.com/best-hospitals/area/pa/livengrin-foundation-6230694,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
54,Lower Bucks Hospital,6230205,6230205,501 Bath Road,Bristol,Pennsylvania,PA,19007-3190,40.1053,-74.8674,"Philadelphia, PA",,(215) 785-9200,https://health.usnews.com/best-hospitals/area/pa/lower-bucks-hospital-6230205,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
55,Magee Rehabilitation Hospital-Jefferson Health,6231977,6231977,1513 Race Street,Philadelphia,Pennsylvania,PA,19102-1177,39.9568,-75.1654,"Philadelphia, PA",,(215) 587-3000,https://health.usnews.com/best-hospitals/area/pa/magee-rehabilitation-hospital-6231977,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
56,Main Line Health Bryn Mawr Rehabilitation Hospital,6239205,6239205,414 Paoli Pike,Malvern,Pennsylvania,PA,19355-3300,40.0107,-75.5298,"Philadelphia, PA",,(484) 596-5400,https://health.usnews.com/best-hospitals/area/pa/bryn-mawr-rehabilitation-hospital-6239205,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
57,Main Line Health Riddle Hospital,6231375,6231375,1068 West Baltimore Pike,Media,Pennsylvania,PA,19063-5177,39.9127,-75.4309,"Philadelphia, PA",,(484) 227-9400,https://health.usnews.com/best-hospitals/area/pa/riddle-memorial-hospital-6231375,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
58,Malvern Institute,6239200,6239200,940 King Road,Malvern,Pennsylvania,PA,19355-3166,40.0289,-75.5435,"Philadelphia, PA",,(610) 647-0330,https://health.usnews.com/best-hospitals/area/pa/malvern-institute-6239200,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
59,Meadow Wood Behavioral Health System-New Castle,6310025,6310025,575 South Dupont Highway,New Castle,Delaware,DE,19720-4606,39.6398,-75.6295,"Philadelphia, PA",,(302) 328-3330,https://health.usnews.com/best-hospitals/area/de/meadow-wood-behavioral-health-system-6310025,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
60,Memorial Hospital of Salem County,6221260,6221260,310 Woodstown Road,Salem,New Jersey,NJ,08079-2080,39.594,-75.4445,"Philadelphia, PA",,(856) 935-1000,https://health.usnews.com/best-hospitals/area/nj/memorial-hospital-of-salem-county-6221260,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
61,Mercy Fitzgerald Hospital,6230555,6230555,1500 Lansdowne Avenue,Darby,Pennsylvania,PA,19023-1200,39.9271,-75.2687,"Philadelphia, PA",,(610) 237-4000,https://health.usnews.com/best-hospitals/area/pa/mercy-catholic-medical-center-6230555,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
62,Montgomery County Emergency Service-Norristown,6231565,6231565,50 Beech Drive,Norristown,Pennsylvania,PA,19403-5421,40.1359,-75.3558,"Philadelphia, PA",,(610) 279-6100,https://health.usnews.com/best-hospitals/area/pa/montgomery-county-emergency-service-6231565,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
63,MossRehab,6230715,6230715,60 Township Line Rd.,Elkins Park,Pennsylvania,PA,19027-2220,40.0791129,-75.1139922,"Philadelphia, PA",,(215) 663-6000,https://health.usnews.com/best-hospitals/area/pa/mossrehab-6230715,"Philadelphia, PA",False,,False,0,1,0,2023-01-04 16:42:46.120813
64,Nazareth Hospital,6232030,6232030,2601 Holme Avenue,Philadelphia,Pennsylvania,PA,19152-2096,40.0588,-75.0422,"Philadelphia, PA",,(215) 335-6000,https://health.usnews.com/best-hospitals/area/pa/nazareth-hospital-6232030,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
65,Nemours Children's Hospital-Delaware,6310110,6310110,1600 Rockland Road,Wilmington,Delaware,DE,19803-3616,39.7794,-75.5553,"Philadelphia, PA",,(302) 651-4000,https://health.usnews.com/best-hospitals/area/de/nemours-alfred-i-dupont-hospital-for-children-6310110,"Philadelphia, PA",False,,False,0,0,5,2023-01-04 16:42:46.120813
66,Norristown State Hospital,6231570,6231570,1001 Sterigere Street,Norristown,Pennsylvania,PA,19401-5300,40.1316,-75.3442,"Philadelphia, PA",,(610) 270-1000,https://health.usnews.com/best-hospitals/area/pa/norristown-state-hospital-6231570,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
67,Northbrook Behavioral Health Hospital,6220472,6220472,425 Woodbury Turnersville Road,Blackwood,New Jersey,NJ,08012-2960,39.7896,-75.0736,"Philadelphia, PA",,(856) 374-6500,https://health.usnews.com/best-hospitals/area/nj/northbrook-behavioral-health-hospital-6220472,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
68,Penn Presbyterian Medical Center,6232170,6232170,51 North 39th Street,Philadelphia,Pennsylvania,PA,19104-2699,39.9583,-75.1991,"Philadelphia, PA",,(215) 662-8000,https://health.usnews.com/best-hospitals/area/pa/penn-presbyterian-medical-center-6232170,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
69,Philadelphia Veterans Affairs Medical Center,6232325,6232325,3900 Woodland Avenue,Philadelphia,Pennsylvania,PA,19104-4594,39.948,-75.2001,"Philadelphia, PA",,(215) 823-5800,https://health.usnews.com/best-hospitals/area/pa/veterans-affairs-medical-center-6232325,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
70,Phoenixville Hospital,6232390,6232390,140 Nutt Road,Phoenixville,Pennsylvania,PA,19460-3900,40.1237,-75.5154,"Philadelphia, PA",,(610) 983-1000,https://health.usnews.com/best-hospitals/area/pa/phoenixville-hospital-6232390,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
71,Physicians Care Surgical Hospital,6230455,6230455,454 Enterprise Drive,Royersford,Pennsylvania,PA,19468-1200,40.2157,-75.5535,"Philadelphia, PA",,(610) 495-3330,https://health.usnews.com/best-hospitals/area/pa/physicians-care-surgical-hospital-6230455,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
72,Pottstown Hospital,6232770,6232770,1600 East High Street,Pottstown,Pennsylvania,PA,19464-5093,40.2427,-75.6121,"Philadelphia, PA",,(610) 327-7000,https://health.usnews.com/best-hospitals/area/pa/pottstown-memorial-medical-center-6232770,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
73,Rockford Center,6310145,6310145,100 Rockford Drive,Newark,Delaware,DE,19713-2121,39.6951,-75.6611,"Philadelphia, PA",,(302) 996-5480,https://health.usnews.com/best-hospitals/area/de/rockford-center-6310145,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
74,Rothman Orthopaedic Specialty Hospital,6230293,6230293,3300 Tillman Drive,Bensalem,Pennsylvania,PA,19020-2071,40.113,-74.9628,"Philadelphia, PA",,(215) 244-7400,https://health.usnews.com/best-hospitals/area/pa/rothman-specialty-hospital-6230293,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
75,Roxborough Memorial Hospital,6231980,6231980,5800 Ridge Avenue,Philadelphia,Pennsylvania,PA,19128-1737,40.029,-75.2101,"Philadelphia, PA",,(215) 483-9900,https://health.usnews.com/best-hospitals/area/pa/roxborough-memorial-hospital-6231980,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
76,Select Specialty Hospital-Wilmington,6310011,6310011,"701 North Clayton Street, 5th Floor",Wilmington,Delaware,DE,19805-3948,39.7498,-75.5677,"Philadelphia, PA",,(302) 421-4545,https://health.usnews.com/best-hospitals/area/de/select-specialty-hospital-wilmington-6310011,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
77,Shriners Hospitals for Children-Philadelphia,6232270,6232270,3551 North Broad Street,Philadelphia,Pennsylvania,PA,19140-4160,40.0072,-75.1513,"Philadelphia, PA",,(215) 430-4000,https://health.usnews.com/best-hospitals/area/pa/shriners-hospitals-for-children-at-philadelphia-6232270,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
78,St. Christopher's Hospital for Children,6232210,6232210,160 East Erie Avenue,Philadelphia,Pennsylvania,PA,19134-1043,40.0068426,-75.1243401,"Philadelphia, PA",,(215) 427-5000,https://health.usnews.com/best-hospitals/area/pa/st-christophers-hospital-for-children-6232210,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
79,St. Francis Hospital-Wilmington,6310140,6310140,701 North Clayton Street,Wilmington,Delaware,DE,19805,39.7495,-75.5666,"Philadelphia, PA",,(302) 421-4100,https://health.usnews.com/best-hospitals/area/de/st-francis-hospital-6310140,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
80,St. John Vianney Hospital,6230585,6230585,151 Woodbine Road,Downingtown,Pennsylvania,PA,19335-3057,40.012,-75.6833,"Philadelphia, PA",,(610) 269-2600,https://health.usnews.com/best-hospitals/area/pa/st-john-vianney-hospital-6230585,"Philadelphia, PA",False,,False,0,0,0,2023-01-04 16:42:46.120813
